instruction,response,label,__index_level_0__
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The company reported a significant decrease in revenue for the third quarter, attributing it to decreased consumer spending during the holiday season.",negative,fin,104.0
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The new iPhone model is set to be released next month, featuring a larger screen and improved camera capabilities.",positive,fin,105.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The quality of the material is excellent and the design is very stylish.,positive,fin,106.0
What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The food was delicious and the service was excellent.,positive,fin,107.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The new iPhone model is expected to have faster processing speed and improved camera quality.,positive,fin,108.0
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Apple unveils new iPhone with groundbreaking features.,positive,fin,109.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The stock market surged today on news of a potential trade deal between the US and China.,positive,fin,110.0
"What is the sentiment of this movie review? Please choose an answer from {negative/neutral/positive}. The film received mixed reviews from critics, with some praising the acting performances and others criticizing the plot.",neutral,fin,111.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The camera quality is amazing but the battery life is disappointing.,mixed,fin,112.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. Apple unveils new iPhone with groundbreaking features and improved performance.,positive,fin,113.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone has a sleek design and impressive features, making it a top choice for tech-savvy consumers.",positive,fin,114.0
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The tech giant Apple announced record-breaking sales for its latest iPhone model, exceeding analyst expectations and driving the company's stock price to new highs.",positive,fin,115.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. Recent studies show a decline in bee populations worldwide.,negative,fin,116.0
What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The new restaurant in town has a diverse menu with unique flavors and excellent service.,positive,fin,117.0
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The latest earnings report from Apple Inc. revealed a 29% increase in revenue, driven by strong iPhone sales and growth in services like Apple Music and iCloud.",moderately positive,fin,118.0
"What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The new restaurant in town has a beautiful ambiance and friendly staff, but the food quality was disappointing.",neutral,fin,119.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. Amazon acquires MGM Studios for $8.45 billion.,positive,fin,120.0
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Ford Motor Co. has announced a recall affecting over 100,000 vehicles due to potential safety issues.",mildly negative,fin,121.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The camera has excellent picture quality and a durable design, making it a great investment for photographers.",positive,fin,122.0
"What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The new restaurant in town has a cozy atmosphere and serves delicious food, but the service was slow.",positive,fin,123.0
What is the sentiment of this social media post? Please choose an answer from {negative/neutral/positive}. Just booked my dream vacation to Hawaii! #excited,positive,fin,124.0
"What is the sentiment of this movie review? Please choose an answer from {negative/neutral/positive}. The acting in this film was subpar, but the visuals were stunning.",mixed,fin,125.0
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The Department of Health in the UK announced plans to invest £500 million in improving mental health services across the country.,positive,fin,126.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The user praised the durability and sleek design of the smartphone, but mentioned issues with battery life and camera quality.",neutral,fin,127.0
What is the main idea of this article? Summarize it in one sentence.,Please provide the article text for analysis.,fin,128.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This laptop offers great performance and sleek design, but the battery life is below average.",neutral,fin,129.0
What is the sentiment of this blog post? Please choose an answer from {negative/neutral/positive}. The article discusses the benefits of implementing artificial intelligence in customer service to improve efficiency and customer satisfaction.,positive,fin,130.0
"What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The new restaurant in town has received mixed reviews from customers, with some praising the food quality and others criticizing the service.",mixed,fin,131.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone features a sleek design, fast performance, and long battery life.",positive,fin,132.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new XYZ smartphone has a sleek design and impressive camera quality.,positive,fin,133.0
What is the sentiment of this news article? Please choose an answer from {negative/neutral/positive}. The company announced a new partnership with a leading technology firm to develop cutting-edge AI solutions for autonomous vehicles.,positive,fin,134.0
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. McDonald's faces backlash over new menu item.,negative,fin,135.0
"What is the sentiment of this article? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The global economy faces uncertainty as inflation rises and supply chain disruptions persist, leading to concerns about stagflation.",moderately negative,fin,136.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This new smartphone model has received mixed reviews from tech experts, with some praising its camera quality but others criticizing its battery life.",mixed,fin,137.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new iPhone model features a larger display and improved camera capabilities, making it a popular choice among tech enthusiasts.",positive,fin,138.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The latest research study suggests that regular exercise can significantly improve mental health and reduce symptoms of anxiety and depression.,positive,fin,139.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone model XYZ has impressive camera quality and long battery life.,positive,fin,140.0
What is the sentiment of this blog post? Please choose an answer from {negative/neutral/positive}. The article discusses the impact of climate change on global food production.,neutral,fin,141.0
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The new research study reveals that regular exercise can have a positive impact on mental health, improving mood and reducing anxiety levels.",positive,fin,142.0
"What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The new restaurant in town has a cozy atmosphere, but the food was underwhelming.",neutral,fin,143.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The company announced a voluntary recall of its product due to safety concerns and potential health risks.,negative,fin,144.0
"What is the sentiment of this book review? Please choose an answer from {negative/neutral/positive}. The characters were well-developed and the plot was engaging, making it a captivating read.",positive,fin,145.0
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The company announced a new partnership with a leading technology firm to enhance its product offerings and expand into new markets.,positive,fin,146.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone features a sleek design and improved camera quality.,positive,fin,147.0
Identify the main topic of this article. Choose the most relevant answer from {business/technology/politics/sports}. Amazon announces record-breaking Prime Day sales.,business,fin,148.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This laptop offers a sleek design and powerful performance, but some users have reported issues with overheating during intensive tasks.",neutral,fin,149.0
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The new product launch by Apple Inc. received mixed reviews from tech experts and consumers alike.,neutral,fin,150.0
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Apple announces new iPhone release date and features.,positive,fin,151.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The latest economic data shows a decrease in unemployment rates and an increase in consumer spending.,positive,fin,152.0
"What is the sentiment of this product review? Please choose an answer from {positive/neutral/negative}. This phone has a great camera quality and long battery life, but the software tends to lag at times.",positive,fin,153.0
What is the sentiment of this article? Please choose an answer from {bearish/bullish/neutral}. The stock market experienced a significant downturn today.,bearish,fin,154.0
What is the sentiment of this article? Please choose an answer from {very negative/negative/neutral/positive/very positive}. The global economy is facing challenges due to supply chain disruptions and inflation concerns. How will these factors impact stock markets in the upcoming months?,negative,fin,155.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The new electric car model has been praised for its innovative design and eco-friendly features.,positive,fin,156.0
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The latest iPhone model has been revealed, boasting new features and improvements in performance and camera quality.",positive,fin,157.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. Major tech companies announce collaboration to combat climate change.,positive,fin,158.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone features a sleek design and impressive camera quality.,positive,fin,159.0
"What is the sentiment of this article? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Walmart Inc. WMT, -0.33% has announced a partnership with Google GOOGL, +0.65% to offer voice-activated grocery shopping through Google Assistant. The collaboration aims to provide customers with a seamless shopping experience and enhance convenience in purchasing groceries online.",mildly positive,fin,160.0
What is the sentiment of this blog post? Please choose an answer from {negative/neutral/positive}. Exploring the impact of artificial intelligence on customer service in retail industry.,neutral,fin,161.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}.,neutral,fin,162.0
What is the sentiment of this article? Please choose an answer from {bearish/bullish/neutral}. Investors are worried about the impact of rising interest rates on tech stocks.,bearish,fin,163.0
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Tesla has announced record-breaking vehicle deliveries in the third quarter, surpassing analyst expectations and showing strong growth in demand for electric vehicles.",strong positive,fin,164.0
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The company reported a 10% increase in revenue for the quarter, exceeding analyst expectations.",positive,fin,165.0
What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. This new restaurant in town offers a diverse menu with unique flavors and excellent customer service.,positive,fin,166.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The company announced a new partnership with a leading technology firm to develop innovative products.,positive,fin,167.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The stock market experienced a sharp decline today due to concerns over rising inflation and interest rates.,negative,fin,168.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The camera quality is excellent and the battery life is impressive.,positive,fin,169.0
What is the sentiment of this movie review? Please choose an answer from {negative/neutral/positive}. This film has incredible special effects and a captivating storyline.,positive,fin,170.0
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The stock market experienced a sharp decline today due to concerns over rising inflation and interest rates. Tech stocks were hit particularly hard, with many companies seeing double-digit drops in their share prices.",negative,fin,171.0
What is the sentiment of this movie review? Please choose an answer from {negative/neutral/positive}. The acting was superb and the plot kept me on the edge of my seat throughout.,positive,fin,172.0
What is the main idea of this article? Please provide a brief summary in one sentence.,"The article discusses the financial performance of the Bank of Åland in the second quarter of 2008, highlighting a decrease in operating profit compared to the same period in 2007.",fin,173.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The battery life of this smartphone is impressive, but the camera quality could be improved.",neutral,fin,174.0
What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The new restaurant in town has a diverse menu with unique flavors.,positive,fin,175.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}.,neutral,fin,176.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The new iPhone model is rumored to have advanced features and improved performance.,positive,fin,177.0
What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The new restaurant in town has received mixed reviews with some customers praising the food quality and others criticizing the slow service.,mixed,fin,178.0
What is the sentiment of this movie review? Please choose an answer from {negative/neutral/positive}.,,fin,179.0
What is the sentiment of this article? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The stock market experienced a significant drop today due to concerns over rising inflation rates and geopolitical tensions. Investors are advised to stay cautious and monitor the situation closely.,mildly negative,fin,180.0
"What is the sentiment of this article? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. A new study suggests that regular exercise can improve mental health and reduce symptoms of anxiety and depression. The study, conducted by researchers at Harvard University, found that participants who exercised for at least 30 minutes a day reported lower levels of stress and increased feelings of well-being.",mildly positive,fin,181.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The camera quality of the new smartphone is exceptional.,positive,fin,182.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This vacuum cleaner has excellent suction power and a lightweight design, making it easy to maneuver around furniture.",positive,fin,183.0
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The company announced a major product recall due to safety concerns.,negative,fin,184.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The stock market experienced a significant drop today due to global economic concerns.,negative,fin,185.0
"What is the sentiment of this movie review? Please choose an answer from {negative/neutral/positive}. The cinematography in this film is stunning, but the plot falls flat towards the end.",mixed,fin,186.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This vacuum cleaner is lightweight and easy to maneuver, but it lacks suction power compared to other models on the market.",neutral,fin,187.0
What is the main idea of this article? Summarize it in one sentence.,Please provide the text of the article so I can generate a summary in one sentence.,fin,188.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The stock market experienced a major downturn today following news of trade tensions between two major economies.,negative,fin,189.0
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. Elon Musk's SpaceX successfully launches 143 satellites on a single rocket, setting new record https://t.co/UvAExN5t1C",positive,fin,190.0
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Tesla's CEO Elon Musk announced plans to build a new Gigafactory in Texas, creating thousands of jobs in the region.",positive,fin,191.0
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The unemployment rate has decreased by 2% compared to last month.,positive,fin,192.0
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. The latest iPhone model is expected to have a longer battery life and improved camera features.,positive,fin,193.0
What is the sentiment of this social media post? Please choose an answer from {negative/neutral/positive}. Excited to announce our partnership with XYZ Company! #collaboration,positive,fin,194.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone boasts a sleek design, impressive camera quality, and long-lasting battery life.",positive,fin,195.0
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The new electric car model from Tesla has received glowing reviews for its performance and design, solidifying Tesla's position as a leader in the electric vehicle market.",positive,fin,196.0
"What is the sentiment of this blog post? Please choose an answer from {negative/neutral/positive}. In this article, the author discusses the benefits of incorporating mindfulness practices into daily routines for improved mental health.",positive,fin,197.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This phone has excellent battery life and a high-quality camera.,positive,fin,198.0
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Tesla announces record-breaking sales for the third quarter of 2021.,positive,fin,199.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new iPhone model offers impressive camera features and faster performance.,positive,fin,200.0
"What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The customer service at this restaurant was exceptional, but the food quality was disappointing.",mixed,fin,201.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This vacuum cleaner has excellent suction power and is very lightweight, making it easy to maneuver around the house.",positive,fin,202.0
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The company announced a new partnership with a major tech giant to develop cutting-edge AI technology.,positive,fin,203.0
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Apple Inc. reported a record-breaking $81.4 billion in revenue for the third quarter, driven by strong iPhone and Mac sales.",positive,fin,204.0
What is the sentiment of this movie review? Please choose an answer from {negative/neutral/positive} - 'The acting was superb and the storyline kept me on the edge of my seat throughout.',positive,fin,205.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}.,neutral,fin,206.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone features a sleek design and improved camera quality, but some users have reported issues with battery life.",neutral,fin,207.0
What is the sentiment of this article? Please choose an answer from {positive/neutral/negative}. The latest research study shows that regular exercise can help improve memory and cognitive function in older adults.,positive,fin,208.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. Amazon's Stock Price Hits All-Time High,positive,fin,209.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This vacuum cleaner has great suction power and is very lightweight, making it easy to maneuver around the house.",positive,fin,210.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This new smartphone has a sleek design and impressive camera features.,positive,fin,211.0
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The latest financial report indicates a significant increase in revenue for the company compared to the previous quarter.,positive,fin,212.0
"What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The camera quality of this phone is exceptional, but the battery life is disappointing.",mixed,fin,213.0
What is the sentiment of this blog post? Please choose an answer from {negative/neutral/positive}. The 5 Best Investment Strategies for 2021,positive,fin,214.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This new smartphone model has impressive battery life and a sleek design.,positive,fin,215.0
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The government announces a new initiative to support small businesses by providing low-interest loans.,positive,fin,216.0
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. How climate change is affecting agriculture in South America.,neutral,fin,217.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. Elon Musk announces plans for SpaceX to colonize Mars within the next decade.,positive,fin,218.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The camera quality is excellent and the battery life lasts for a long time.,positive,fin,219.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone model has a sleek design and impressive camera features.,positive,fin,220.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. How Technology is Reshaping the Future of Work,neutral,fin,221.0
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. New study shows that regular exercise can improve mental health and well-being.,positive,fin,222.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. Apple unveils new lineup of products at virtual event.,positive,fin,223.0
What is the sentiment of this news article? Please choose an answer from {negative/neutral/positive}. Analysts predict a strong growth trajectory for Tesla as it continues to dominate the electric vehicle market.,positive,fin,224.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new iPhone 13 features a longer battery life and improved camera quality compared to the previous model.,positive,fin,225.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. How the rise of remote work is reshaping real estate markets and urban centers.,neutral,fin,226.0
What is the sentiment of this article? Please choose an answer from {very negative/negative/neutral/positive/very positive}. The recent study published in the Journal of Environmental Science and Technology suggests that air pollution levels in major cities have decreased by 20% over the past decade due to stricter regulations on emissions.,positive,fin,227.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This blender is powerful and easy to clean, but the noise level is quite high.",positive,fin,228.0
What is the sentiment of this article? Please select one from the following options: {positive/neutral/negative}. A recent study published in a leading medical journal suggests that consuming dark chocolate in moderation may have positive effects on cardiovascular health.,positive,fin,229.0
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Great performance by $AAPL in the latest quarter.,positive,fin,230.0
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Bitcoin hits all-time high, surpassing $60,000 for the first time.",positive,fin,231.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone model boasts a sleek design and improved camera quality, but some users have reported issues with battery life.",positive,fin,232.0
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The CEO of the company announced a major restructuring plan that will result in significant job cuts and cost savings.,negative,fin,233.0
What is the sentiment of this movie review? Please choose an answer from {negative/neutral/positive}. The film has breathtaking visuals and a compelling storyline.,positive,fin,234.0
Identify the main topic of this article. Please provide a brief summary in one sentence.,This instruction is asking for the main topic of the article and a brief summary in one sentence. Please provide the main topic of the article and summarize it briefly.,fin,235.0
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. Tesla announces record-breaking profits for the quarter, surpassing Wall Street expectations.",positive,fin,236.0
What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. This product exceeded all my expectations and I highly recommend it.,positive,fin,237.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The stock market experienced a significant downturn today due to concerns over rising inflation and interest rates.,negative,fin,238.0
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The company announced a major restructuring plan that includes significant layoffs and cost-cutting measures.,strong negative,fin,239.0
What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The new restaurant in town has a diverse menu with unique dishes and excellent service.,positive,fin,240.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The company announced massive layoffs and a sharp decline in revenue for the past quarter.,negative,fin,241.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}.,neutral,fin,242.0
What is the sentiment of this social media post? Please choose an answer from {negative/neutral/positive}. Just booked my dream vacation to Hawaii! #excited,positive,fin,243.0
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. The new iPhone 13 lineup features improved battery life and faster performance.,positive,fin,244.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The Top 5 Trends in Artificial Intelligence for 2022,neutral,fin,245.0
What is the sentiment of this movie review? Please choose an answer from {negative/neutral/positive}. The film has stunning visuals and a gripping storyline.,positive,fin,246.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone features a sleek design and impressive camera capabilities.,positive,fin,247.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The reviewer mentions the excellent build quality and fast delivery, but expresses disappointment with the product's battery life.",mixed,fin,248.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new iPhone model has impressive camera features and a sleek design.,positive,fin,249.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new iPhone model has been praised for its enhanced camera features and longer battery life.,positive,fin,250.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone model boasts improved camera features and a faster processor.,positive,fin,251.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The government has announced a new policy to improve healthcare services in rural areas.,positive,fin,252.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The stock market experienced a significant drop today due to concerns over rising inflation rates and interest rates.,negative,fin,253.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The phone's battery life lasted only a few hours before needing to be recharged.,negative,fin,254.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The stock market experienced a sharp decline today due to rising inflation concerns.,negative,fin,255.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The recent merger between Company A and Company B has sparked discussions among industry analysts about the potential impact on market competition.,neutral,fin,256.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone features a sleek design and impressive camera capabilities.,positive,fin,257.0
What is the sentiment of this article? Please choose an answer from {bearish/bullish/neutral}. The stock market is experiencing high volatility due to uncertainties in global economic conditions.,neutral,fin,258.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This vacuum cleaner is lightweight and easy to maneuver, but the suction power could be better.",neutral,fin,259.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone features a sleek design and improved camera quality.,positive,fin,260.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The latest study shows that regular exercise can improve mental health and reduce the risk of developing certain chronic diseases.,positive,fin,261.0
What is the sentiment of this movie review? Please choose an answer from {negative/neutral/positive}. The acting was exceptional and the plot kept me on the edge of my seat throughout.,positive,fin,262.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The new iPhone model is set to be released next month with several innovative features.,positive,fin,263.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone features a stunning display and impressive camera capabilities.,positive,fin,264.0
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The global economy is facing challenges as inflation rates continue to rise, impacting consumer purchasing power and business operations.",negative,fin,265.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This vacuum cleaner has excellent suction power and is very easy to maneuver around furniture.,positive,fin,266.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new XYZ gadget has revolutionized my daily routine with its sleek design and advanced features.,positive,fin,267.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}.,neutral,fin,268.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This phone has a great camera quality and long battery life, but the screen resolution could be better.",positive,fin,269.0
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The company announced a significant decrease in revenue projections for the upcoming quarter due to unexpected market challenges.,strong negative,fin,270.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone has a sleek design and improved camera features.,positive,fin,271.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The company announced a new partnership with a leading technology firm to enhance its product offerings.,positive,fin,272.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This laptop has exceptional battery life and a fast processor, making it perfect for on-the-go work.",positive,fin,273.0
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The unemployment rate in the United States has decreased to 4.6% in November, marking a significant improvement from the previous month.",positive,fin,274.0
What is the sentiment of this blog post? Please choose an answer from {negative/neutral/positive}. The latest article on sustainable fashion trends in 2022 highlights the growing interest in eco-friendly and ethical clothing choices.,positive,fin,275.0
What is the sentiment of this earnings report? Please choose an answer from {negative/neutral/positive}. Company XYZ reported a revenue decrease of 5% compared to the previous quarter.,negative,fin,276.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new XYZ smartphone boasts a sleek design, impressive camera quality, and fast processing speed.",positive,fin,277.0
"What is the sentiment of this movie review? Please choose an answer from {negative/neutral/positive}. The film received mixed reviews from critics, with some praising the performances but criticizing the plot pacing.",mixed,fin,278.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new iPhone 13 has impressive camera features and a longer battery life.,positive,fin,279.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The stock market experienced a sharp decline due to concerns over rising inflation rates and geopolitical tensions.,negative,fin,280.0
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. Tesla announces record-breaking profits in Q3, surpassing analyst expectations.",positive,fin,281.0
What is the sentiment of this Instagram post? Please choose an answer from {negative/neutral/positive}. Just booked my dream vacation to Bora Bora! #excited,positive,fin,282.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The new study shows that regular exercise can improve mental health and reduce stress levels.,positive,fin,283.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The camera quality is excellent and the battery life lasts a long time.,positive,fin,284.0
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone model features a larger screen and improved camera capabilities, making it a popular choice among tech enthusiasts.",positive,fin,285.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The company announced a new partnership with a leading technology firm to enhance their digital capabilities.,positive,fin,286.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. Apple unveils new MacBook Pro with improved performance and longer battery life.,positive,fin,287.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This new smartphone model boasts a longer battery life and improved camera quality compared to its predecessor.,positive,fin,288.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This vacuum cleaner has excellent suction power and is very easy to use.,positive,fin,289.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The latest smartphone model from TechCorp boasts new innovative features and impressive performance.,positive,fin,290.0
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The battery life of the new smartphone lasts for two days on a single charge.,positive,fin,291.0
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The global demand for electric vehicles is expected to increase by 50% in the next five years.,positive,fin,292.0
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The company announced a new partnership with a leading technology firm to enhance their product offerings.,positive,fin,293.0
